date,storage,inflow,outflow,elevation,evaporation
2006-09-11,NA,NA,NA,NA,NA
2006-09-12,NA,NA,NA,NA,NA
2006-09-13,9.884,1.539,3.891,1423.401,NA
2006-09-14,NA,NA,NA,NA,NA
2006-09-15,NA,NA,NA,NA,NA
2006-09-16,NA,NA,NA,NA,NA
2006-09-17,NA,NA,NA,NA,NA
2006-09-18,NA,NA,NA,NA,NA
2006-09-19,NA,NA,NA,NA,NA
2006-09-20,NA,NA,NA,NA,NA
2006-09-21,NA,NA,NA,NA,NA
2006-09-22,8.879,2.074,1.957,1422.483,NA
2006-09-23,NA,NA,NA,NA,NA
2006-09-24,NA,NA,NA,NA,NA
2006-09-25,NA,NA,NA,NA,NA
2006-09-26,NA,NA,NA,NA,NA
2006-09-27,NA,NA,NA,NA,NA
2006-09-28,NA,NA,NA,NA,NA
2006-09-29,NA,NA,NA,NA,NA
2006-09-30,NA,NA,NA,NA,NA
2006-10-01,NA,NA,NA,NA,NA
2006-10-02,NA,NA,NA,NA,NA
2006-10-03,NA,NA,NA,NA,NA
2006-10-04,8.293,1.555,1.686,1421.929,NA
2006-10-05,NA,NA,NA,NA,NA
2006-10-06,NA,NA,NA,NA,NA
2006-10-07,NA,NA,NA,NA,NA
2006-10-08,NA,NA,NA,NA,NA
2006-10-09,NA,NA,NA,NA,NA
2006-10-10,NA,NA,NA,NA,NA
2006-10-11,8.253,1.83,1.812,1421.886,NA
2006-10-12,NA,NA,NA,NA,NA
2006-10-13,NA,NA,NA,NA,NA
2006-10-14,NA,NA,NA,NA,NA
2006-10-15,NA,NA,NA,NA,NA
2006-10-16,NA,NA,NA,NA,NA
2006-10-17,NA,NA,NA,NA,NA
2006-10-18,NA,NA,NA,NA,NA
2006-10-19,NA,NA,NA,NA,NA
2006-10-20,NA,NA,NA,NA,NA
2006-10-21,NA,NA,NA,NA,NA
2006-10-22,NA,NA,NA,NA,NA
2006-10-23,NA,NA,NA,NA,NA
2006-10-24,NA,NA,NA,NA,NA
2006-10-25,NA,NA,NA,NA,NA
2006-10-26,NA,NA,NA,NA,NA
2006-10-27,NA,NA,NA,NA,NA
2006-10-28,NA,NA,NA,NA,NA
2006-10-29,NA,NA,NA,NA,NA
2006-10-30,NA,NA,NA,NA,NA
2006-10-31,NA,NA,NA,NA,NA
2006-11-01,NA,NA,NA,NA,NA
2006-11-02,NA,NA,NA,NA,NA
2006-11-03,NA,NA,NA,NA,NA
2006-11-04,NA,NA,NA,NA,NA
2006-11-05,NA,NA,NA,NA,NA
2006-11-06,NA,NA,NA,NA,NA
2006-11-07,NA,NA,NA,NA,NA
2006-11-08,NA,NA,NA,NA,NA
2006-11-09,NA,NA,NA,NA,NA
2006-11-10,NA,NA,NA,NA,NA
2006-11-11,NA,NA,NA,NA,NA
2006-11-12,NA,NA,NA,NA,NA
2006-11-13,NA,NA,NA,NA,NA
2006-11-14,NA,NA,NA,NA,NA
2006-11-15,NA,NA,NA,NA,NA
2006-11-16,NA,NA,NA,NA,NA
2006-11-17,NA,NA,NA,NA,NA
2006-11-18,NA,NA,NA,NA,NA
2006-11-19,NA,NA,NA,NA,NA
2006-11-20,NA,NA,NA,NA,NA
2006-11-21,NA,NA,NA,NA,NA
2006-11-22,NA,NA,NA,NA,NA
2006-11-23,NA,NA,NA,NA,NA
2006-11-24,11.417,1.782,1.73,1424.8,NA
2006-11-25,NA,NA,NA,NA,NA
2006-11-26,NA,NA,NA,NA,NA
2006-11-27,NA,NA,NA,NA,NA
2006-11-28,NA,NA,NA,NA,NA
2006-11-29,NA,NA,NA,NA,NA
2006-11-30,NA,NA,NA,NA,NA
2006-12-01,NA,NA,NA,NA,NA
2006-12-02,NA,NA,NA,NA,NA
2006-12-03,NA,NA,NA,NA,NA
2006-12-04,NA,NA,NA,NA,NA
2006-12-05,NA,NA,NA,NA,NA
2006-12-06,NA,NA,NA,NA,NA
2006-12-07,NA,NA,NA,NA,NA
2006-12-08,NA,NA,NA,NA,NA
2006-12-09,NA,NA,NA,NA,NA
2006-12-10,NA,NA,NA,NA,NA
2006-12-11,NA,NA,NA,NA,NA
2006-12-12,NA,NA,NA,NA,NA
2006-12-13,NA,NA,NA,NA,NA
2006-12-14,NA,NA,NA,NA,NA
2006-12-15,NA,NA,NA,NA,NA
2006-12-16,NA,NA,NA,NA,NA
2006-12-17,NA,NA,NA,NA,NA
2006-12-18,NA,NA,NA,NA,NA
2006-12-19,NA,NA,NA,NA,NA
2006-12-20,NA,NA,NA,NA,NA
2006-12-21,NA,NA,NA,NA,NA
2006-12-22,NA,NA,NA,NA,NA
2006-12-23,NA,NA,NA,NA,NA
2006-12-24,NA,NA,NA,NA,NA
2006-12-25,NA,NA,NA,NA,NA
2006-12-26,NA,NA,NA,NA,NA
2006-12-27,NA,NA,NA,NA,NA
2006-12-28,NA,NA,NA,NA,NA
2006-12-29,NA,NA,NA,NA,NA
2006-12-30,NA,NA,NA,NA,NA
2006-12-31,NA,NA,NA,NA,NA
2007-01-01,NA,NA,NA,NA,NA
2007-01-02,NA,NA,NA,NA,NA
2007-01-03,NA,NA,NA,NA,NA
2007-01-04,NA,NA,NA,NA,NA
2007-01-05,11.685,NA,NA,1425.031,NA
2007-01-06,NA,NA,NA,NA,NA
2007-01-07,NA,NA,NA,NA,NA
2007-01-08,NA,NA,NA,NA,NA
2007-01-09,NA,NA,NA,NA,NA
2007-01-10,NA,NA,NA,NA,NA
2007-01-11,NA,NA,NA,NA,NA
2007-01-12,NA,NA,NA,NA,NA
2007-01-13,NA,NA,NA,NA,NA
2007-01-14,NA,NA,NA,NA,NA
2007-01-15,NA,NA,NA,NA,NA
2007-01-16,NA,NA,NA,NA,NA
2007-01-17,NA,NA,NA,NA,NA
2007-01-18,NA,NA,NA,NA,NA
2007-01-19,NA,NA,NA,NA,NA
2007-01-20,NA,NA,NA,NA,NA
2007-01-21,NA,NA,NA,NA,NA
2007-01-22,NA,NA,NA,NA,NA
2007-01-23,NA,NA,NA,NA,NA
2007-01-24,NA,NA,NA,NA,NA
2007-01-25,NA,NA,NA,NA,NA
2007-01-26,NA,NA,NA,NA,NA
2007-01-27,NA,NA,NA,NA,NA
2007-01-28,NA,NA,NA,NA,NA
2007-01-29,NA,NA,NA,NA,NA
2007-01-30,NA,NA,NA,NA,NA
2007-01-31,NA,NA,NA,NA,NA
2007-02-01,NA,NA,NA,NA,NA
2007-02-02,NA,NA,NA,NA,NA
2007-02-03,NA,NA,NA,NA,NA
2007-02-04,NA,NA,NA,NA,NA
2007-02-05,11.216,NA,NA,1424.617,NA
2007-02-06,NA,NA,NA,NA,NA
2007-02-07,NA,NA,NA,NA,NA
2007-02-08,NA,NA,NA,NA,NA
2007-02-09,NA,NA,NA,NA,NA
2007-02-10,NA,NA,NA,NA,NA
2007-02-11,NA,NA,NA,NA,NA
2007-02-12,NA,NA,NA,NA,NA
2007-02-13,NA,NA,NA,NA,NA
2007-02-14,NA,NA,NA,NA,NA
2007-02-15,NA,NA,NA,NA,NA
2007-02-16,NA,NA,NA,NA,NA
2007-02-17,NA,NA,NA,NA,NA
2007-02-18,NA,NA,NA,NA,NA
2007-02-19,NA,NA,NA,NA,NA
2007-02-20,NA,NA,NA,NA,NA
2007-02-21,NA,NA,NA,NA,NA
2007-02-22,NA,NA,NA,NA,NA
2007-02-23,NA,NA,NA,NA,NA
2007-02-24,NA,NA,NA,NA,NA
2007-02-25,NA,NA,NA,NA,NA
2007-02-26,NA,NA,NA,NA,NA
2007-02-27,NA,NA,NA,NA,NA
2007-02-28,NA,NA,NA,NA,NA
2007-03-01,NA,NA,NA,NA,NA
2007-03-02,NA,NA,NA,NA,NA
2007-03-03,NA,NA,NA,NA,NA
2007-03-04,NA,NA,NA,NA,NA
2007-03-05,11.417,NA,NA,1424.8,NA
2007-03-06,NA,NA,NA,NA,NA
2007-03-07,NA,NA,NA,NA,NA
2007-03-08,NA,NA,NA,NA,NA
2007-03-09,NA,NA,NA,NA,NA
2007-03-10,NA,NA,NA,NA,NA
2007-03-11,NA,NA,NA,NA,NA
2007-03-12,NA,NA,NA,NA,NA
2007-03-13,NA,NA,NA,NA,NA
2007-03-14,NA,NA,NA,NA,NA
2007-03-15,NA,NA,NA,NA,NA
2007-03-16,NA,NA,NA,NA,NA
2007-03-17,NA,NA,NA,NA,NA
2007-03-18,15.168,7.966,1.911,1427.708,NA
2007-03-19,NA,NA,NA,NA,NA
2007-03-20,NA,NA,NA,NA,NA
2007-03-21,NA,NA,NA,NA,NA
2007-03-22,16.865,NA,NA,1428.875,NA
2007-03-23,NA,NA,NA,NA,NA
2007-03-24,NA,NA,NA,NA,NA
2007-03-25,NA,NA,NA,NA,NA
2007-03-26,NA,NA,NA,NA,NA
2007-03-27,NA,NA,NA,NA,NA
2007-03-28,NA,NA,NA,NA,NA
2007-03-29,NA,NA,NA,NA,NA
2007-03-30,NA,NA,NA,NA,NA
2007-03-31,21.233,6.609,3.738,1431.536,NA
2007-04-01,NA,NA,NA,NA,NA
2007-04-02,NA,NA,NA,NA,NA
2007-04-03,NA,NA,NA,NA,NA
2007-04-04,NA,NA,NA,NA,NA
2007-04-05,NA,NA,NA,NA,NA
2007-04-06,NA,NA,NA,NA,NA
2007-04-07,NA,NA,NA,NA,NA
2007-04-08,NA,NA,NA,NA,NA
2007-04-09,NA,NA,NA,NA,NA
2007-04-10,NA,NA,NA,NA,NA
2007-04-11,NA,NA,NA,NA,NA
2007-04-12,24.619,NA,4.446,1433.493,NA
2007-04-13,NA,NA,NA,NA,NA
2007-04-14,NA,NA,NA,NA,NA
2007-04-15,NA,NA,NA,NA,NA
2007-04-16,NA,NA,NA,NA,NA
2007-04-17,NA,NA,NA,NA,NA
2007-04-18,NA,NA,NA,NA,NA
2007-04-19,NA,NA,NA,NA,NA
2007-04-20,NA,NA,NA,NA,NA
2007-04-21,NA,NA,NA,NA,NA
2007-04-22,NA,NA,NA,NA,NA
2007-04-23,NA,NA,NA,NA,NA
2007-04-24,NA,NA,NA,NA,NA
2007-04-25,NA,NA,NA,NA,NA
2007-04-26,NA,NA,NA,NA,NA
2007-04-27,NA,NA,NA,NA,NA
2007-04-28,29.505,13.442,5.975,1435.901,NA
2007-04-29,NA,NA,NA,NA,NA
2007-04-30,NA,NA,NA,NA,NA
2007-05-01,NA,NA,NA,NA,NA
2007-05-02,NA,NA,NA,NA,NA
2007-05-03,NA,NA,NA,NA,NA
2007-05-04,NA,NA,NA,NA,NA
2007-05-05,NA,NA,NA,NA,NA
2007-05-06,NA,NA,NA,NA,NA
2007-05-07,NA,NA,NA,NA,NA
2007-05-08,NA,NA,NA,NA,NA
2007-05-09,NA,NA,NA,NA,NA
2007-05-10,NA,NA,NA,NA,NA
2007-05-11,NA,NA,NA,NA,NA
2007-05-12,NA,NA,NA,NA,NA
2007-05-13,NA,NA,NA,NA,NA
2007-05-14,NA,NA,NA,NA,NA
2007-05-15,NA,NA,NA,NA,NA
2007-05-16,NA,NA,NA,NA,NA
2007-05-17,NA,NA,NA,NA,NA
2007-05-18,NA,NA,NA,NA,NA
2007-05-19,NA,NA,NA,NA,NA
2007-05-20,NA,NA,NA,NA,NA
2007-05-21,NA,NA,NA,NA,NA
2007-05-22,NA,NA,NA,NA,NA
2007-05-23,NA,NA,NA,NA,NA
2007-05-24,NA,NA,NA,NA,NA
2007-05-25,NA,NA,NA,NA,NA
2007-05-26,NA,NA,NA,NA,NA
2007-05-27,NA,NA,NA,NA,NA
2007-05-28,NA,NA,NA,NA,NA
2007-05-29,NA,NA,NA,NA,NA
2007-05-30,NA,NA,NA,NA,NA
2007-05-31,NA,NA,NA,NA,NA
2007-06-01,NA,NA,NA,NA,NA
2007-06-02,NA,NA,NA,NA,NA
2007-06-03,NA,NA,NA,NA,NA
2007-06-04,NA,NA,NA,NA,NA
2007-06-05,40.346,11.151,12.884,1440.485,NA
2007-06-06,NA,NA,NA,NA,NA
2007-06-07,NA,NA,NA,NA,NA
2007-06-08,NA,NA,NA,NA,NA
2007-06-09,NA,NA,NA,NA,NA
2007-06-10,NA,NA,NA,NA,NA
2007-06-11,NA,NA,NA,NA,NA
2007-06-12,NA,NA,NA,NA,NA
2007-06-13,NA,NA,NA,NA,NA
2007-06-14,NA,NA,NA,NA,NA
2007-06-15,NA,NA,NA,NA,NA
2007-06-16,NA,NA,NA,NA,NA
2007-06-17,40.329,8.539,9.684,1440.479,NA
2007-06-18,NA,NA,NA,NA,NA
2007-06-19,NA,NA,NA,NA,NA
2007-06-20,NA,NA,NA,NA,NA
2007-06-21,NA,NA,NA,NA,NA
2007-06-22,40.261,6.714,8.509,1440.454,NA
2007-06-23,NA,NA,NA,NA,NA
2007-06-24,NA,NA,NA,NA,NA
2007-06-25,NA,NA,NA,NA,NA
2007-06-26,NA,NA,NA,NA,NA
2007-06-27,NA,NA,NA,NA,NA
2007-06-28,NA,NA,NA,NA,NA
2007-06-29,NA,NA,NA,NA,NA
2007-06-30,NA,NA,NA,NA,NA
2007-07-01,40.329,4.534,4.842,1440.476,NA
2007-07-02,NA,NA,NA,NA,NA
2007-07-03,NA,NA,NA,NA,NA
2007-07-04,NA,NA,NA,NA,NA
2007-07-05,NA,NA,NA,NA,NA
2007-07-06,NA,NA,NA,NA,NA
2007-07-07,NA,NA,NA,NA,NA
2007-07-08,40.252,3.644,3.879,1440.451,NA
2007-07-09,NA,NA,NA,NA,NA
2007-07-10,NA,NA,NA,NA,NA
2007-07-11,NA,NA,NA,NA,NA
2007-07-12,NA,NA,NA,NA,NA
2007-07-13,NA,NA,NA,NA,NA
2007-07-14,NA,NA,NA,NA,NA
2007-07-15,39.873,3.016,3.313,1440.314,NA
2007-07-16,39.944,3.004,4.517,1440.342,NA
2007-07-17,NA,NA,NA,NA,NA
2007-07-18,NA,NA,NA,NA,NA
2007-07-19,NA,NA,NA,NA,NA
2007-07-20,NA,NA,NA,NA,NA
2007-07-21,39.664,2.772,3.681,1440.229,NA
2007-07-22,NA,NA,NA,NA,NA
2007-07-23,NA,NA,NA,NA,NA
2007-07-24,NA,NA,NA,NA,NA
2007-07-25,NA,NA,NA,NA,NA
2007-07-26,NA,NA,NA,NA,NA
2007-07-27,NA,NA,NA,NA,NA
2007-07-28,NA,NA,NA,NA,NA
2007-07-29,NA,NA,NA,NA,NA
2007-07-30,37.552,2.304,5.295,1439.369,NA
2007-07-31,NA,NA,NA,NA,NA
2007-08-01,NA,NA,NA,NA,NA
2007-08-02,NA,NA,NA,NA,NA
2007-08-03,NA,NA,NA,NA,NA
2007-08-04,NA,NA,NA,NA,NA
2007-08-05,34.789,1.871,5.975,1438.248,NA
2007-08-06,NA,NA,NA,NA,NA
2007-08-07,34.759,1.871,6.145,1438.229,NA
2007-08-08,NA,NA,NA,NA,NA
2007-08-09,NA,NA,NA,NA,NA
2007-08-10,NA,NA,NA,NA,NA
2007-08-11,NA,NA,NA,NA,NA
2007-08-12,NA,NA,NA,NA,NA
2007-08-13,NA,NA,NA,NA,NA
2007-08-14,NA,NA,NA,NA,NA
2007-08-15,NA,NA,NA,NA,NA
2007-08-16,NA,NA,NA,NA,NA
2007-08-17,NA,NA,NA,NA,NA
2007-08-18,NA,NA,NA,NA,NA
2007-08-19,NA,NA,NA,NA,NA
2007-08-20,NA,NA,NA,NA,NA
2007-08-21,27.598,1.944,7.544,1435.001,NA
2007-08-22,NA,NA,NA,NA,NA
2007-08-23,NA,NA,NA,NA,NA
2007-08-24,NA,NA,NA,NA,NA
2007-08-25,NA,NA,NA,NA,NA
2007-08-26,NA,NA,NA,NA,NA
2007-08-27,NA,NA,NA,NA,NA
2007-08-28,NA,NA,NA,NA,NA
2007-08-29,NA,NA,NA,NA,NA
2007-08-30,NA,NA,NA,NA,NA
2007-08-31,22.626,1.483,7.192,1432.401,NA
2007-09-01,NA,NA,NA,NA,NA
2007-09-02,NA,NA,NA,NA,NA
2007-09-03,NA,NA,NA,NA,NA
2007-09-04,NA,NA,NA,NA,NA
2007-09-05,NA,NA,NA,NA,NA
2007-09-06,NA,NA,NA,NA,NA
2007-09-07,NA,NA,NA,NA,NA
2007-09-08,NA,NA,NA,NA,NA
2007-09-09,18.333,1.548,7.985,1429.832,NA
2007-09-10,NA,NA,NA,NA,NA
2007-09-11,NA,NA,NA,NA,NA
2007-09-12,NA,NA,NA,NA,NA
2007-09-13,NA,NA,NA,NA,NA
2007-09-14,15.12,1.414,7.759,1427.671,NA
2007-09-15,NA,NA,NA,NA,NA
2007-09-16,NA,NA,NA,NA,NA
2007-09-17,NA,NA,NA,NA,NA
2007-09-18,NA,NA,NA,NA,NA
2007-09-19,NA,NA,NA,NA,NA
2007-09-20,NA,NA,NA,NA,NA
2007-09-21,NA,NA,NA,NA,NA
2007-09-22,NA,NA,NA,NA,NA
2007-09-23,NA,NA,NA,NA,NA
2007-09-24,NA,NA,NA,NA,NA
2007-09-25,NA,NA,NA,NA,NA
2007-09-26,NA,NA,NA,NA,NA
2007-09-27,10.867,NA,NA,1424.3,NA
2007-09-28,NA,NA,NA,NA,NA
2007-09-29,NA,NA,NA,NA,NA
2007-09-30,NA,NA,NA,NA,NA
2007-10-01,8.304,1.942,3.54,1422.697,NA
2007-10-02,NA,NA,NA,NA,NA
2007-10-03,NA,NA,NA,NA,NA
2007-10-04,NA,NA,NA,NA,NA
2007-10-05,NA,NA,NA,NA,NA
2007-10-06,NA,NA,NA,NA,NA
2007-10-07,NA,NA,NA,NA,NA
2007-10-08,NA,NA,NA,NA,NA
2007-10-09,NA,NA,NA,NA,NA
2007-10-10,NA,NA,NA,NA,NA
2007-10-11,NA,NA,NA,NA,NA
2007-10-12,NA,NA,NA,NA,NA
2007-10-13,NA,NA,NA,NA,NA
2007-10-14,NA,NA,NA,NA,NA
2007-10-15,NA,NA,NA,NA,NA
2007-10-16,NA,NA,NA,NA,NA
2007-10-17,NA,NA,NA,NA,NA
2007-10-18,NA,NA,NA,NA,NA
2007-10-19,NA,NA,NA,NA,NA
2007-10-20,NA,NA,NA,NA,NA
2007-10-21,NA,NA,NA,NA,NA
2007-10-22,NA,NA,NA,NA,NA
2007-10-23,NA,NA,NA,NA,NA
2007-10-24,NA,NA,NA,NA,NA
2007-10-25,NA,NA,NA,NA,NA
2007-10-26,NA,NA,NA,NA,NA
2007-10-27,NA,NA,NA,NA,NA
2007-10-28,NA,NA,NA,NA,NA
2007-10-29,NA,NA,NA,NA,NA
2007-10-30,NA,NA,NA,NA,NA
2007-10-31,NA,NA,NA,NA,NA
2007-11-01,NA,NA,NA,NA,NA
2007-11-02,NA,NA,NA,NA,NA
2007-11-03,NA,NA,NA,NA,NA
2007-11-04,NA,NA,NA,NA,NA
2007-11-05,NA,NA,NA,NA,NA
2007-11-06,NA,NA,NA,NA,NA
2007-11-07,NA,NA,NA,NA,NA
2007-11-08,NA,NA,NA,NA,NA
2007-11-09,NA,NA,NA,NA,NA
2007-11-10,NA,NA,NA,NA,NA
2007-11-11,NA,NA,NA,NA,NA
2007-11-12,NA,NA,NA,NA,NA
2007-11-13,NA,NA,NA,NA,NA
2007-11-14,NA,NA,NA,NA,NA
2007-11-15,NA,NA,NA,NA,NA
2007-11-16,NA,NA,NA,NA,NA
2007-11-17,NA,NA,NA,NA,NA
2007-11-18,NA,NA,NA,NA,NA
2007-11-19,NA,NA,NA,NA,NA
2007-11-20,NA,NA,NA,NA,NA
2007-11-21,NA,NA,NA,NA,NA
2007-11-22,NA,NA,NA,NA,NA
2007-11-23,NA,NA,NA,NA,NA
2007-11-24,NA,NA,NA,NA,NA
2007-11-25,NA,NA,NA,NA,NA
2007-11-26,NA,NA,NA,NA,NA
2007-11-27,NA,NA,NA,NA,NA
2007-11-28,NA,NA,NA,NA,NA
2007-11-29,NA,NA,NA,NA,NA
2007-11-30,NA,NA,NA,NA,NA
2007-12-01,NA,NA,NA,NA,NA
2007-12-02,NA,NA,NA,NA,NA
2007-12-03,NA,NA,NA,NA,NA
2007-12-04,NA,NA,NA,NA,NA
2007-12-05,NA,NA,NA,NA,NA
2007-12-06,NA,NA,NA,NA,NA
2007-12-07,11.491,NA,NA,1424.87,NA
2007-12-08,NA,NA,NA,NA,NA
2007-12-09,NA,NA,NA,NA,NA
2007-12-10,NA,NA,NA,NA,NA
2007-12-11,NA,NA,NA,NA,NA
2007-12-12,NA,NA,NA,NA,NA
2007-12-13,NA,NA,NA,NA,NA
2007-12-14,NA,NA,NA,NA,NA
2007-12-15,NA,NA,NA,NA,NA
2007-12-16,NA,NA,NA,NA,NA
2007-12-17,NA,NA,NA,NA,NA
2007-12-18,NA,NA,NA,NA,NA
2007-12-19,NA,NA,NA,NA,NA
2007-12-20,NA,NA,NA,NA,NA
2007-12-21,NA,NA,NA,NA,NA
2007-12-22,NA,NA,NA,NA,NA
2007-12-23,NA,NA,NA,NA,NA
2007-12-24,NA,NA,NA,NA,NA
2007-12-25,NA,NA,NA,NA,NA
2007-12-26,NA,NA,NA,NA,NA
2007-12-27,NA,NA,NA,NA,NA
2007-12-28,NA,NA,NA,NA,NA
2007-12-29,NA,NA,NA,NA,NA
2007-12-30,NA,NA,NA,NA,NA
2007-12-31,NA,NA,NA,NA,NA
2008-01-01,NA,NA,NA,NA,NA
2008-01-02,NA,NA,NA,NA,NA
2008-01-03,NA,NA,NA,NA,NA
2008-01-04,NA,NA,NA,NA,NA
2008-01-05,NA,NA,NA,NA,NA
2008-01-06,NA,NA,NA,NA,NA
2008-01-07,NA,NA,NA,NA,NA
2008-01-08,NA,NA,NA,NA,NA
2008-01-09,NA,NA,NA,NA,NA
2008-01-10,NA,NA,NA,NA,NA
2008-01-11,NA,NA,NA,NA,NA
2008-01-12,NA,NA,NA,NA,NA
2008-01-13,NA,NA,NA,NA,NA
2008-01-14,11.415,NA,NA,1424.788,NA
2008-01-15,NA,NA,NA,NA,NA
2008-01-16,NA,NA,NA,NA,NA
2008-01-17,NA,NA,NA,NA,NA
2008-01-18,NA,NA,NA,NA,NA
2008-01-19,NA,NA,NA,NA,NA
2008-01-20,NA,NA,NA,NA,NA
2008-01-21,NA,NA,NA,NA,NA
2008-01-22,NA,NA,NA,NA,NA
2008-01-23,NA,NA,NA,NA,NA
2008-01-24,NA,NA,NA,NA,NA
2008-01-25,NA,NA,NA,NA,NA
2008-01-26,NA,NA,NA,NA,NA
2008-01-27,NA,NA,NA,NA,NA
2008-01-28,NA,NA,NA,NA,NA
2008-01-29,NA,NA,NA,NA,NA
2008-01-30,NA,NA,NA,NA,NA
2008-01-31,NA,NA,NA,NA,NA
2008-02-01,NA,NA,NA,NA,NA
2008-02-02,NA,NA,NA,NA,NA
2008-02-03,NA,NA,NA,NA,NA
2008-02-04,11.036,NA,NA,1424.452,NA
2008-02-05,NA,NA,NA,NA,NA
2008-02-06,NA,NA,NA,NA,NA
2008-02-07,NA,NA,NA,NA,NA
2008-02-08,NA,NA,NA,NA,NA
2008-02-09,NA,NA,NA,NA,NA
2008-02-10,NA,NA,NA,NA,NA
2008-02-11,NA,NA,NA,NA,NA
2008-02-12,NA,NA,NA,NA,NA
2008-02-13,NA,NA,NA,NA,NA
2008-02-14,NA,NA,NA,NA,NA
2008-02-15,NA,NA,NA,NA,NA
2008-02-16,NA,NA,NA,NA,NA
2008-02-17,NA,NA,NA,NA,NA
2008-02-18,NA,NA,NA,NA,NA
2008-02-19,NA,NA,NA,NA,NA
2008-02-20,NA,NA,NA,NA,NA
2008-02-21,NA,NA,NA,NA,NA
2008-02-22,NA,NA,NA,NA,NA
2008-02-23,NA,NA,NA,NA,NA
2008-02-24,NA,NA,NA,NA,NA
2008-02-25,NA,NA,NA,NA,NA
2008-02-26,NA,NA,NA,NA,NA
2008-02-27,NA,NA,NA,NA,NA
2008-02-28,NA,NA,NA,NA,NA
2008-02-29,10.869,NA,NA,1424.3,NA
2008-03-01,NA,NA,NA,NA,NA
2008-03-02,NA,NA,NA,NA,NA
2008-03-03,NA,NA,NA,NA,NA
2008-03-04,NA,NA,NA,NA,NA
2008-03-05,NA,NA,NA,NA,NA
2008-03-06,NA,NA,NA,NA,NA
2008-03-07,NA,NA,NA,NA,NA
2008-03-08,NA,NA,NA,NA,NA
2008-03-09,NA,NA,NA,NA,NA
2008-03-10,NA,NA,NA,NA,NA
2008-03-11,NA,NA,NA,NA,NA
2008-03-12,NA,NA,NA,NA,NA
2008-03-13,NA,NA,NA,NA,NA
2008-03-14,NA,NA,NA,NA,NA
2008-03-15,NA,NA,NA,NA,NA
2008-03-16,NA,NA,NA,NA,NA
2008-03-17,NA,NA,NA,NA,NA
2008-03-18,NA,NA,NA,NA,NA
2008-03-19,NA,NA,NA,NA,NA
2008-03-20,NA,NA,NA,NA,NA
2008-03-21,NA,NA,NA,NA,NA
2008-03-22,NA,NA,NA,NA,NA
2008-03-23,NA,NA,NA,NA,NA
2008-03-24,NA,NA,NA,NA,NA
2008-03-25,NA,NA,NA,NA,NA
2008-03-26,NA,NA,NA,NA,NA
2008-03-27,NA,NA,NA,NA,NA
2008-03-28,NA,NA,NA,NA,NA
2008-03-29,11.528,NA,NA,1424.91,NA
2008-03-30,NA,NA,NA,NA,NA
2008-03-31,NA,NA,NA,NA,NA
2008-04-01,NA,NA,NA,NA,NA
2008-04-02,NA,NA,NA,NA,NA
2008-04-03,NA,NA,NA,NA,NA
2008-04-04,NA,NA,NA,NA,NA
2008-04-05,NA,NA,NA,NA,NA
2008-04-06,NA,NA,NA,NA,NA
2008-04-07,NA,NA,NA,NA,NA
2008-04-08,NA,NA,NA,NA,NA
2008-04-09,NA,NA,NA,NA,NA
2008-04-10,NA,NA,NA,NA,NA
2008-04-11,NA,NA,NA,NA,NA
2008-04-12,NA,NA,NA,NA,NA
2008-04-13,NA,NA,NA,NA,NA
2008-04-14,NA,NA,NA,NA,NA
2008-04-15,NA,NA,NA,NA,NA
2008-04-16,NA,NA,NA,NA,NA
2008-04-17,NA,NA,NA,NA,NA
2008-04-18,NA,NA,NA,NA,NA
2008-04-19,NA,NA,NA,NA,NA
2008-04-20,NA,NA,NA,NA,NA
2008-04-21,NA,NA,NA,NA,NA
2008-04-22,NA,NA,NA,NA,NA
2008-04-23,NA,NA,NA,NA,NA
2008-04-24,NA,NA,NA,NA,NA
2008-04-25,NA,NA,NA,NA,NA
2008-04-26,NA,NA,NA,NA,NA
2008-04-27,NA,NA,NA,NA,NA
2008-04-28,NA,NA,NA,NA,NA
2008-04-29,NA,NA,NA,NA,NA
2008-04-30,18.966,15.318,4.372,1430.122,NA
2008-05-01,NA,NA,NA,NA,NA
2008-05-02,NA,NA,NA,NA,NA
2008-05-03,NA,NA,NA,NA,NA
2008-05-04,NA,NA,NA,NA,NA
2008-05-05,NA,NA,NA,NA,NA
2008-05-06,NA,NA,NA,NA,NA
2008-05-07,NA,NA,NA,NA,NA
2008-05-08,NA,NA,NA,NA,NA
2008-05-09,29.996,21.238,7.221,1436.132,NA
2008-05-10,NA,NA,NA,NA,NA
2008-05-11,NA,NA,NA,NA,NA
2008-05-12,NA,NA,NA,NA,NA
2008-05-13,NA,NA,NA,NA,NA
2008-05-14,NA,NA,NA,NA,NA
2008-05-15,35.058,NA,10.704,1438.351,NA
2008-05-16,NA,NA,NA,NA,NA
2008-05-17,NA,NA,NA,NA,NA
2008-05-18,NA,NA,NA,NA,NA
2008-05-19,NA,NA,NA,NA,NA
2008-05-20,NA,NA,NA,NA,NA
2008-05-21,NA,NA,NA,NA,NA
2008-05-22,NA,NA,NA,NA,NA
2008-05-23,NA,NA,NA,NA,NA
2008-05-24,NA,NA,NA,NA,NA
2008-05-25,NA,NA,NA,NA,NA
2008-05-26,NA,NA,NA,NA,NA
2008-05-27,NA,NA,NA,NA,NA
2008-05-28,NA,NA,NA,NA,NA
2008-05-29,NA,NA,NA,NA,NA
